image,x1,y1,x2,y2,label
Image_158,520,540,530,550,logo
Image_156,558,582,624,600,lp
Image_156,570,522,608,536,logo
Image_155,310,576,666,656,logo
Image_154,594,380,618,450,logo
Image_154,568,550,624,562,logo
Image_153,496,382,568,406,logo
Image_153,488,604,558,636,logo
Image_153,506,412,556,428,logo
Image_153,560,412,598,430,logo
Image_153,446,380,488,406,logo
Image_153,450,414,498,426,logo
Image_153,572,386,610,410,logo
Image_153,510,436,580,458,logo
Image_152,554,478,566,492,logo
Image_150,470,536,558,584,logo
Image_149,474,436,560,458,ss
Image_149,472,460,536,474,ss
Image_149,476,476,564,492,ss
Image_149,466,486,546,506,ss
Image_149,470,510,542,524,ss
Image_149,464,524,528,544,ss
Image_149,470,542,542,562,ss
Image_149,482,558,564,592,ss
Image_148,564,488,610,518,logo
Image_147,310,502,360,574,logo
Image_147,298,488,566,612,ss
Image_146,316,384,352,424,ss
Image_146,316,426,350,456,ss
Image_146,318,450,400,480,ss
Image_146,320,470,396,504,ss
Image_146,332,492,400,622,ss
Image_146,400,544,464,600,ss
Image_146,388,476,458,524,ss
Image_146,396,434,440,478,ss
Image_146,460,512,506,602,ss
Image_146,500,560,548,596,ss
Image_146,544,556,590,592,ss
Image_146,510,514,560,550,ss
Image_146,560,506,596,550,ss
Image_146,394,418,424,446,ss
Image_146,438,460,504,486,ss
Image_146,450,490,502,506,ss
Image_146,452,432,482,450,ss
Image_146,602,532,636,554,ss
Image_146,526,458,556,502,ss
Image_146,658,518,690,568,ss
Image_146,568,468,596,502,ss
Image_146,664,490,680,518,ss
Image_146,622,486,640,514,ss
Image_146,286,578,350,648,ss
Image_145,446,574,502,648,logo
Image_145,550,430,582,454,logo
Image_144,466,618,550,640,logo
Image_141,420,360,470,376,logo
Image_141,524,448,552,466,logo
Image_140,442,394,594,564,ss
Image_140,618,556,654,596,ss
Image_140,416,538,556,608,ss
Image_139,486,496,584,574,logo
Image_139,342,516,372,546,logo
Image_139,312,376,350,422,logo
Image_138,668,596,716,654,ss
Image_136,450,550,646,576,ss
Image_136,656,544,702,576,logo
Image_135,548,554,566,564,logo
Image_132,670,502,710,518,ss
Image_131,462,436,582,472,ss
Image_130,416,592,524,656,lp
Image_130,892,594,986,622,lp
Image_130,134,586,196,610,lp
Image_130,628,520,674,540,lp
Image_130,326,524,362,536,lp
Image_129,296,256,806,454,ss
Image_129,344,154,566,324,ss
Image_129,474,412,578,518,ss
Image_128,248,312,446,382,logo
Image_128,564,632,730,684,lp
Image_127,806,276,916,406,ss
Image_127,840,122,1018,292,ss
Image_127,558,332,804,412,ss
Image_126,788,708,846,752,eo
Image_125,328,60,516,170,ss
Image_125,652,440,718,550,ss
Image_125,600,556,758,596,ss
Image_123,282,530,342,566,ss
Image_122,282,606,340,638,lp
Image_121,488,686,560,822,ss
Image_121,294,116,618,270,ss
Image_121,868,476,896,520,lp
