image,x1,y1,x2,y2,label
Image_81,666,554,718,636,ss
Image_81,980,568,992,590,lp
Image_82,722,362,802,490,ss
Image_82,878,878,896,894,lp
Image_83,496,596,568,634,lp
Image_83,676,492,700,524,ss
Image_84,196,122,454,490,ss
Image_85,314,588,368,642,lp
Image_106,740,422,760,458,lp
Image_106,552,486,580,574,ss
Image_106,498,534,524,610,ss
Image_86,692,188,708,218,lp
Image_87,700,192,758,232,lp
Image_88,474,280,682,342,ss
Image_89,154,610,252,740,lp
Image_90,456,264,496,312,ss
Image_90,488,292,602,330,ss
Image_91,470,244,554,306,ss
Image_91,694,438,742,486,ss
Image_91,454,632,510,676,lp
Image_92,828,588,854,632,lp
Image_92,532,650,590,700,ss
Image_92,738,414,756,452,lp
Image_93,504,558,536,624,lp
Image_93,336,272,382,324,ss
Image_93,378,280,396,306,ss
Image_93,428,420,456,452,ss
Image_93,322,520,338,572,ss
Image_93,406,440,424,470,ss
Image_94,438,528,470,596,lp
Image_94,366,192,380,220,lp
Image_95,742,374,778,408,ss
Image_96,520,490,562,578,lp
Image_97,352,120,522,608,ss
Image_97,694,302,728,338,ss
Image_98,922,640,952,676,eo
Image_98,886,632,912,664,eo
Image_99,178,652,202,686,eo
Image_99,216,646,240,682,eo
Image_100,544,566,600,636,lp
Image_100,544,780,578,818,lp
Image_101,404,694,430,712,lp
Image_103,502,740,640,854,ss
Image_105,638,254,658,286,lp
Image_105,376,502,410,574,ss
Image_108,708,430,754,518,lp
Image_109,36,300,184,608,ss
Image_109,294,482,330,520,lp
Image_110,496,536,610,584,lp
Image_111,682,342,706,370,eo
Image_111,154,396,178,430,eo
Image_113,248,678,294,718,lp
Image_115,656,538,684,580,eo
Image_115,308,530,338,574,eo
Image_115,8,530,34,562,eo
Image_116,480,522,582,682,ss
Image_117,524,642,554,682,lp
Image_117,520,822,542,858,lp
Image_117,338,808,356,854,ss
Image_117,408,240,436,278,ss
Image_118,526,522,544,550,lp
Image_118,304,140,382,220,ss
Image_118,376,146,424,220,ss
Image_118,468,708,496,740,ss
Image_119,236,334,342,488,lp
Image_120,368,584,404,626,ss
Image_120,668,598,686,632,ss
Image_120,206,620,230,644,ss
